id	nome parcheggio		Latitudine	Longitudine		Latitudine	Longitudine		provincia	comune	indirizzo	info
1	Piazza Fontane Marose		44.4103933	8.9350658		"44°24'37"""	"8°56'06"""		GENOVA	GENOVA	Piazza Fontane Marose	Lato opposto fermata Bus. 
2	Piazza Marsala - Angolo Via Palestro		44.4110796	8.9388594		"44°24'39"""	"8°56'20"""		GENOVA	GENOVA	Piazza Marsala - Angolo Via Palestro	Fronte Civico 4
3	Via Gramsci		44.4124848	8.9273775		"44°24'44"""	"8°55'38"""		GENOVA	GENOVA	Via Gramsci	Fronte Civico 1
4	Via di Francia 		44.4104736	8.9057435		"44°24'36"""	"8°54'16"""		GENOVA	GENOVA	Via di Francia 	A fine rampa sottopasso direz.levante. Lato sinistro
5	P.zza Bandiera		44.4142749	8.9286671		"44°24'51"""	"8°55'42"""		GENOVA	GENOVA	P.zza Bandiera	Lato Ponente (Via Bellucci)
6	Via Duca D'Aosta 		44.404704	8.9479208		"44°24'16"""	"8°56'51"""		GENOVA	GENOVA	Via Duca D'Aosta 	Davanti Star Hotel
7	Staz.Principe. Salita Provvidenza		44.417745	8.9221933		"44°25'04"""	"8°55'19"""		GENOVA	GENOVA	Salita Provvidenza	Davanti civici 7-9r
8	Via Turati-Piazza Cavour		44.4070375	8.9280977		"44°24'25"""	"8°55'41"""		GENOVA	GENOVA	Via Turati	Fronte Vico Mattoni Rossi. A fine portici Via Turati
9	Piazza Sarzano		44.4041504	8.9307999		"44°24'14"""	"8°55'51"""		GENOVA	GENOVA	Piazza Sarzano	Altezza civ.19. Angolo Stradone S.Agostino
10	P.zza  Villa		44.4144117	8.9339644		"44°24'51"""	"8°56'01"""		GENOVA	GENOVA	P.zza  Villa	Strada tra i giardini (continuaz. Salita S.Gerolamo)
11	Corso Paganini 		44.4158887	8.9356756		"44°24'57"""	"8°56'06"""		GENOVA	GENOVA	Corso Paganini 	Altezza Civ.21
12	C.so Armellini  		44.4140087	8.9459449		"44°24'50"""	"8°56'46"""		GENOVA	GENOVA	C.so Armellini  	Altezza civ.2 di P.zza Manin (ascensore)
13	V.le Brigate Partigiane 		44.3987657	8.9452471		"44°23'55"""	"8°56'42"""		GENOVA	GENOVA	V.le Brigate Partigiane 	Interno aiuola. Davanti ACI. 
14	P.zza Matteotti		44.4068256	8.9325911		"44°24'25"""	"8°55'56"""		GENOVA	GENOVA	P.zza Matteotti	Altezza 29-31 rosso (attuale merci). Angolo Pollaiuoli
15	Via Corsica		44.4015337	8.9378226		"44°24'04"""	"8°56'14"""		GENOVA	GENOVA	Via Corsica	Altezza Civ.6. Da fermata Bus a campane racc. differenziata
16	Via SS Giacomo e Filippo		44.4098486	8.9404825		"44°24'35"""	"8°56'25"""		GENOVA	GENOVA	Via SS Giacomo e Filippo	Davanti a sede IRIDE
17	Genova Campi		44.4225881	8.8839244		"44°25'21"""	"8°53'02"""		GENOVA	GENOVA	Genova Campi	Parcheggio Ikea
18	CorsO Europa - Cavalcavia Don Bosco		44.3951761	8.9933874		"44°23'42"""	"8°59'39"""		GENOVA	GENOVA	CorsO Europa	Via Carrara. Sul cavalcavia
19	S.Martino - Via Mosso		44.4080103	8.9748909		"44°24'30"""	"8°58'35"""		GENOVA	GENOVA	Via Mosso	Ingresso Monoblocco S.Martino
20	Fiumara - Via Mantovani		44.4140409	8.8817755		"44°24'50"""	"8°52'54"""		GENOVA	GENOVA	Via Mantovani	Davanti all'Ansaldo
21	Corso Sardegna		44.4113712	8.9551059		"44°24'41"""	"8°57'19"""		GENOVA	GENOVA	Corso Sardegna	Davanti Chiesa Santa Fede
22	S.Fruttuoso - P.zza Terralba		44.4070278	8.9609293		"44°24'25"""	"8°57'38"""		GENOVA	GENOVA	P.zza Terralba	Di fronte al Terralba Park
